TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Predicted RV Semi-amplitude (m/s),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,Label
81247740,1855.01,,3,5,5,3,4,4,4,372.9,410.8,317.0,193.2,11,22,12,PC,CP,10.6503,0.007,,1,qlp-s50-tois,QLP,13:41:24.95,17:41:12.74,-73.224,0.067,-80.738,0.062,2459690.637842,0.0002773,1.3641482,8e-07,0.952,0.052,8.523829,2.067211,7820.0,1902.16,19.5876,5.28743,852.162,1505.0,106.0,176.833,1.178,5347.0,121.0,4.33,0.08,1.08,0.06,,,0.92,0.111479,"23,50",2020-05-08,2022-12-12,2025-07-31 12:59:22,Grazing/V-shaped transit; large radius; nearby star(TIC 81247738) within one pixel,Transit
357972447,1357.01,,5,5,5,5,5,5,5,11.8,75.3,9.13,5.9,2,3,6,EB,FP,10.2193,0.006,,1,qlp-s76-ffi,QLP,21:07:49.39,50:30:03.18,-16.389,0.064,-11.604,0.066,2460393.796914,0.0017901,0.33759,5e-05,1.351,0.189,0.574506,0.030939,529.0,28.4954,2.96097,0.156624,9164.98,2725.0,18.0,254.401,2.292,7387.0,515.6,4.39,0.1,1.37,0.05,,,1.683,0.309446,"15,16,55,56,75,76",2019-10-30,2024-05-13,2025-07-31 12:59:22,TFOP FP/NEB,False Positive
300812741,2322.01,,2,5,5,2,4,4,4,1.0,31.6,4.31,1.3,1,1,1,PC,CP,10.0534,0.006,,1,spoc-s01-s69-b0A-PC,QLP,07:47:53.54,-71:00:07.08,7.873,0.038,-53.309,0.038,2459037.417539,0.0016235126,20.2254945747216,4.8696085e-05,2.27199609134509,0.24579921,0.773481,0.04791,712.148969987503,44.126038,1.90902492972275,0.8845575,10.4016116939844,458.031038302002,14.391445,59.861,0.07945,4465.0,125.1,4.6,0.1,0.697547018527985,0.0569246,,,0.7,0.0826541,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,35,36,37,38,39,61,62,63,65,66,67,68,69",2020-10-07,2024-02-23,2025-08-26 12:03:45,potential multi; variable host,Transit
356235833,2111.01,,5,5,5,5,5,5,5,11.5,96.5,5.72,3.5,0,2,0,EB,FP,9.1597,0.006,,1,qlp-s79-ffi,SPOC,17:20:23.13,20:16:54.68,-51.299,0.028,-174.989,0.034,2460479.42095,0.0014063,1.2680452,1.9e-06,1.027,0.212,0.584283,0.04871,538.0,44.8627,2.24707,0.158627,504.879,1320.0,17.0,83.1749,0.1674,5477.0,121.4,4.46,0.08,0.95,0.05,,,0.96,0.121748,"25,26,52,79",2020-07-28,2024-08-12,2025-07-31 12:59:22,TFOP FP/NEB,False Positive
140830390,1072.01,TIC 140830390.01,5,5,5,5,5,5,5,40.8,79.2,317.0,83.8,3,4,1,EB,FP,11.7106,0.006,,1,spoc,QLP,05:02:30.55,-72:54:50.39,1.679,0.043,32.797,0.04,2459211.732146,0.0021947494,12.8379689423837,0.003123603,9.84641229425166,0.1878411,11.503319,0.392032,10539.0192793982,361.00934,25.488638240544,1.376776,374.129,1225.0,23.545876,703.878,10.696,5765.0,189.0,4.34773,2.00358,2.4494,0.11699,,,1.05,0.12655,"1,2,3,4,5,6,8,9,10,11,12,13,27,28,29,30,31,33",2019-08-16,2021-02-18,2025-07-31 12:59:22,Possible secondary,False Positive
281979481,274.01,,5,5,5,5,5,5,5,21.0,119.2,8.64,7.4,3,5,1,EB,FP,10.4929,0.006,,1,spoc-s01-s39-b0A-PC,SPOC,08:42:01.29,-75:48:06.73,38.707,0.038,-81.363,0.04,2459362.157241,0.0020349107,0.5417947272272686,5.064377e-06,1.1716379465651348,0.07248259,0.584201,0.063982,537.9244901774216,58.928013,2.873873341118768,1.4076043,2690.4153123790443,1836.853757873116,24.296259,113.378,0.261,5181.0,182.0,4.54631,0.289574,0.8072980046272278,0.0471181,,,0.87,0.111103,"3,10,11,12,13,33,37,38,39",2018-11-30,2026-02-25,2026-02-25 00:00:00,TFOP FP; retired as NEB. Centroid offset onto another star a pixel away. V-shaped. Offset also apparent in SPOC multisector and s38.,False Positive
184670625,3377.01,,5,5,5,5,5,5,5,84.5,69.3,317.0,241.8,0,0,0,PC,FP,12.5004,0.006,,1,qlp-s08-faintsearch,FAINT,08:30:40.82,-40:16:48.02,-2.163,0.03,-0.308,0.033,2459278.383405,0.0015559,0.5241284,2.1e-06,1.017,0.175,2.608899,1.268555,2400.0,1167.7,16.7968,7.37714,16094.6,3137.0,16.0,810.822,14.079,5860.0,135.1,3.88,0.08,1.95,0.1,,,1.06,0.134429,"8,34,35",2021-06-16,2024-08-22,2025-07-31 12:59:22,V-shaped; found in faint-star QLP search,False Positive
1129033,398.01,,5,5,5,5,5,5,5,332.9,769.9,113.76,66.1,1,0,4,KP,KP,9.62713,0.007,,1,spoc,UNKNOWN,02:28:37.33,-07:03:38.4,93.889,0.129,-1.567,0.207,2459168.520849,5.56e-05,1.36002827981971,2.0811382e-07,2.16527507554805,0.0051234406,21.300942,0.050612,19427.6944703414,46.61427,13.0911812605723,0.60228205,1343.15682727954,1544.01469919902,482.2753,105.166,1.1955,5500.0,,4.48298,,0.933974981307983,0.0429146,0.07,0.03,0.991,0.120696,"4,31",2019-02-08,2021-12-02,2025-07-31 12:59:22,WASP-77 A b,Transit
402026209,232.01,,4,5,5,5,5,4,5,154.6,140.6,317.0,187.7,1,1,9,KP,KP,11.8295,0.006,,1,spoc-s01-s69-b0A-KP,SPOC,23:34:15.1,-42:03:42.41,9.874,0.053,-87.518,0.048,2458355.184421,5.207243e-05,1.33823135800679,2.5444777e-07,2.1560676107495,0.0086321505,29.870886,0.090788,27137.0920051392,83.61518,14.854260201302,0.92335343,1188.62185446373,1497.54774441597,407.31158,267.206,3.7205,5436.0,,4.46024,,0.894973993301392,0.0555528,-0.01,0.1,0.97,0.122722,"2,28,29,69",2018-11-29,2024-06-03,2025-07-31 12:59:22,WASP-4 b,Transit
341297143,5866.01,,5,5,5,5,5,5,5,52.5,151.2,116.48,41.9,0,3,2,PC,FP,11.1838,0.007,,1,qlp-s55-faintsearch,FAINT,20:45:13.5,12:10:03.39,9.033,0.049,-2.139,0.037,2459813.907629,0.0008213,3.8421028,0.0003158,1.184,0.315,9.72822,0.595592,8920.0,548.41,13.2581,0.741939,120.549,923.0,39.0,356.406,4.456,6247.0,127.8,4.28,0.09,1.32,0.06,,,1.21,0.177054,55,2022-11-08,2024-08-22,2025-07-31 12:59:22,found in faint-star QLP search,False Positive
232540264,1247.01,,2,5,5,2,4,4,4,2.4,44.6,5.38,1.3,2,24,3,PC,CP,8.4724,0.006,,1,qlp-s74-ffi,SPOC,15:11:28.29,71:50:28.67,-189.064,0.053,80.263,0.044,2460311.844914,0.003136,15.9234883,5.29e-05,4.021,0.242,0.5354,0.017675,493.0,16.279,2.18203,0.10788,48.5414,735.0,32.0,73.8713,0.14365,5711.85,106.3,4.38315,0.0689493,1.08,0.05,-0.19,0.07,1.02,0.122847,"14,15,16,20,21,22,26,40,41,47,49,53,56,60,74",2019-10-17,2024-04-01,2025-07-31 12:59:22,L1 candidate; other possible unrelated transits in LC,Transit
